DATE,CPILFENS_PC1
1958-01-01,3.15789
1958-02-01,3.15789
1958-03-01,2.78746
1958-04-01,2.43056
1958-05-01,2.43056
1958-06-01,2.07612
1958-07-01,2.42215
1958-08-01,2.06897
1958-09-01,1.71821
1958-10-01,1.71233
1958-11-01,1.70068
1958-12-01,1.70068
1959-01-01,1.70068
1959-02-01,1.70068
1959-03-01,1.69492
1959-04-01,1.69492
1959-05-01,2.03390
1959-06-01,2.03390
1959-07-01,2.02703
1959-08-01,2.02703
1959-09-01,2.36486
1959-10-01,2.69360
1959-11-01,2.00669
1959-12-01,2.00669
1960-01-01,2.00669
1960-02-01,2.34114
1960-03-01,2.00000
1960-04-01,2.00000
1960-05-01,1.66113
1960-06-01,1.66113
1960-07-01,1.32450
1960-08-01,1.32450
1960-09-01,0.99010
1960-10-01,0.98361
1960-11-01,0.98361
1960-12-01,0.98361
1961-01-01,0.98361
1961-02-01,0.65359
1961-03-01,0.65359
1961-04-01,0.98039
1961-05-01,0.98039
1961-06-01,0.98039
1961-07-01,1.30719
1961-08-01,1.30719
1961-09-01,1.63399
1961-10-01,1.29870
1961-11-01,1.29870
1961-12-01,1.29870
1962-01-01,1.29870
1962-02-01,1.29870
1962-03-01,1.62338
1962-04-01,1.29450
1962-05-01,1.61812
1962-06-01,1.61812
1962-07-01,1.29032
1962-08-01,1.29032
1962-09-01,1.28617
1962-10-01,1.28205
1962-11-01,1.28205
1962-12-01,1.28205
1963-01-01,0.96154
1963-02-01,0.96154
1963-03-01,0.95847
1963-04-01,1.27796
1963-05-01,0.95541
1963-06-01,1.27389
1963-07-01,1.27389
1963-08-01,1.59236
1963-09-01,1.26984
1963-10-01,1.26582
1963-11-01,1.58228
1963-12-01,1.58228
1964-01-01,1.90476
1964-02-01,1.90476
1964-03-01,1.89873
1964-04-01,1.57729
1964-05-01,1.57729
1964-06-01,1.57233
1964-07-01,1.57233
1964-08-01,0.94044
1964-09-01,1.25392
1964-10-01,1.25000
1964-11-01,1.24611
1964-12-01,1.24611
1965-01-01,1.55763
1965-02-01,1.55763
1965-03-01,1.24224
1965-04-01,1.55280
1965-05-01,1.55280
1965-06-01,1.23839
1965-07-01,1.23839
1965-08-01,1.55280
1965-09-01,1.54799
1965-10-01,1.54321
1965-11-01,1.23077
1965-12-01,1.53846
1966-01-01,0.92025
1966-02-01,1.22699
1966-03-01,1.53374
1966-04-01,1.83486
1966-05-01,2.14067
1966-06-01,2.44648
1966-07-01,2.75229
1966-08-01,3.05810
1966-09-01,3.04878
1966-10-01,3.34347
1966-11-01,3.64742
1966-12-01,3.33333
1967-01-01,3.64742
1967-02-01,3.63636
1967-03-01,3.62538
